	250 nm Particle Size, Log D = 3	
Dose/Solubility Ratio	Permeability	Fraction Absorbed
694.4	1.438	99.96
694.4	1.624	99.97
694.4	1.833	99.98
694.4	2.069	99.99
694.4	2.336	99.99
694.4	2.637	100
694.4	2.976	100
694.4	3.36	100
694.4	3.793	100
694.4	4.281	100
694.4	4.833	100
694.4	5.456	100
694.4	6.158	100
694.4	6.952	100
694.4	7.848	100
694.4	8.859	100
694.4	10	100
297.6	1	99.87
297.6	1.129	99.91
297.6	1.274	99.94
297.6	1.438	99.96
297.6	1.624	99.97
297.6	1.833	99.98
297.6	2.069	99.99
297.6	2.336	99.99
297.6	2.637	100
297.6	2.976	100
297.6	3.36	100
297.6	3.793	100
297.6	4.281	100
297.6	4.833	100
297.6	5.456	100
297.6	6.158	100
297.6	6.952	100
297.6	7.848	100
297.6	8.859	100
297.6	10	100
127.4	1	99.87
127.4	1.129	99.91
127.4	1.274	99.94
127.4	1.438	99.96
127.4	1.624	99.97
127.4	1.833	99.98
127.4	2.069	99.99
127.4	2.336	99.99
127.4	2.637	100
127.4	2.976	100
127.4	3.36	100
127.4	3.793	100
127.4	4.281	100
127.4	4.833	100
127.4	5.456	100
127.4	6.158	100
127.4	6.952	100
127.4	7.848	100
127.4	8.859	100
127.4	10	100
54.56	1	99.87
54.56	1.129	99.91
54.56	1.274	99.94
54.56	1.438	99.96
54.56	1.624	99.97
54.56	1.833	99.98
54.56	2.069	99.99
54.56	2.336	99.99
54.56	2.637	100
54.56	2.976	100
54.56	3.36	100
54.56	3.793	100
54.56	4.281	100
54.56	4.833	100
54.56	5.456	100
54.56	6.158	100
54.56	6.952	100
54.56	7.848	100
54.56	8.859	100
54.56	10	100
23.34	1	99.87
23.34	1.129	99.91
23.34	1.274	99.94
23.34	1.438	99.96
23.34	1.624	99.97
23.34	1.833	99.98
23.34	2.069	99.99
23.34	2.336	99.99
23.34	2.637	100
23.34	2.976	100
23.34	3.36	100
23.34	3.793	100
23.34	4.281	100
23.34	4.833	100
23.34	5.456	100
23.34	6.158	100
23.34	6.952	100
23.34	7.848	100
23.34	8.859	100
23.34	10	100
10	1	99.87
10	1.129	99.91
10	1.274	99.94
10	1.438	99.96
10	1.624	99.97
10	1.833	99.98
10	2.069	99.99
10	2.336	99.99
10	2.637	100
10	2.976	100
10	3.36	100
10	3.793	100
10	4.281	100
10	4.833	100
10	5.456	100
10	6.158	100
10	6.952	100
10	7.848	100
10	8.859	100
10	10	100
